id_producto,nombre,marca,color,precio_actual,precio_anterior,moneda,en_descuento,es_nuevo,venta_rapida,promocion,url_producto,url_imagen
210555108,Calvin Klein leather loafers in khaki,Calvin Klein,Desert taupe,164.0,,USD,False,False,False,False,calvin-klein/calvin-klein-leather-loafers-in-khaki/prd/210555108#colourWayId-210555109,images.asos-media.com/products/calvin-klein-leather-loafers-in-khaki/210555108-1-deserttaupe
210555150,Calvin Klein chunky leather loafers in black,Calvin Klein,Triple Black,164.0,,USD,False,False,False,False,calvin-klein/calvin-klein-chunky-leather-loafers-in-black/prd/210555150#colourWayId-210555151,images.asos-media.com/products/calvin-klein-chunky-leather-loafers-in-black/210555150-1-tripleblack
210555183,Calvin Klein cupsole sneakers in white and gray,Calvin Klein,Dark Ecru / White,108.0,,USD,False,False,False,False,calvin-klein/calvin-klein-cupsole-sneakers-in-white-and-gray/prd/210555183#colourWayId-210555184,images.asos-media.com/products/calvin-klein-cupsole-sneakers-in-white-and-gray/210555183-1-dkecruwhite
210555192,Calvin Klein leather loafer in black,Calvin Klein,Triple Black,164.0,,USD,False,False,False,False,calvin-klein/calvin-klein-leather-loafer-in-black/prd/210555192#colourWayId-210555193,images.asos-media.com/products/calvin-klein-leather-loafer-in-black/210555192-1-tripleblack
210961333,BOSS Black sandals in black,BOSS Bodywear,Black,172.0,,USD,False,False,False,False,boss-bodywear/boss-black-sandals-in-black/prd/210961333#colourWayId-210961334,images.asos-media.com/products/boss-black-sandals-in-black/210961333-1-black
209874359,ASOS DESIGN light pink suede loafers with tassel trim,ASOS DESIGN,LIGHT PINK,66.5,94.99,USD,True,False,False,False,asos-design/asos-design-light-pink-suede-loafers-with-tassel-trim/prd/209874359#colourWayId-209874366,images.asos-media.com/products/asos-design-light-pink-suede-loafers-with-tassel-trim/209874359-1-lightpink
209874625,ASOS DESIGN tassel loafers with cup soles in stone suedette,ASOS DESIGN,STONE,74.99,,USD,False,False,False,False,asos-design/asos-design-tassel-loafers-with-cup-soles-in-stone-suedette/prd/209874625#colourWayId-209874659,images.asos-media.com/products/asos-design-tassel-loafers-with-cup-soles-in-stone-suedette/209874625-1-stone
209922827,HUGO Blue B-Cross sneakers in beige,Hugo Blue,Medium Beige,172.0,,USD,False,False,False,False,hugo-blue/hugo-blue-b-cross-sneakers-in-beige/prd/209922827#colourWayId-209922830,images.asos-media.com/products/hugo-blue-b-cross-sneakers-in-beige/209922827-1-mediumbeige
210223748,ASOS DESIGN lace up boat shoes with gum soles in tan suede,ASOS DESIGN,TAN,79.99,,USD,False,False,False,False,asos-design/asos-design-lace-up-boat-shoes-with-gum-soles-in-tan-suede/prd/210223748#colourWayId-210223755,images.asos-media.com/products/asos-design-lace-up-boat-shoes-with-gum-soles-in-tan-suede/210223748-1-tan
210223779,ASOS DESIGN slim loafers with knotted snaffle in brown suede,ASOS DESIGN,BROWN,56.0,79.99,USD,True,False,False,False,asos-design/asos-design-slim-loafers-with-knotted-snaffle-in-brown-suede/prd/210223779#colourWayId-210223785,images.asos-media.com/products/asos-design-slim-loafers-with-knotted-snaffle-in-brown-suede/210223779-1-brown
210223965,ASOS DESIGN boat shoes with cleated sole in khaki and navy suede,ASOS DESIGN,Khaki Green and Navy,59.5,84.99,USD,True,False,False,False,asos-design/asos-design-boat-shoes-with-cleated-sole-in-khaki-and-navy-suede/prd/210223965#colourWayId-210223969,images.asos-media.com/products/asos-design-boat-shoes-with-cleated-sole-in-khaki-and-navy-suede/210223965-1-khakiandnavy
210535629,Havaianas surfer coast flip flops in sand,Havaianas,Sand,63.0,,USD,False,False,False,False,havaianas/havaianas-surfer-coast-flip-flops-in-sand/prd/210535629#colourWayId-210535630,images.asos-media.com/products/havaianas-surfer-coast-flip-flops-in-sand/210535629-1-sand
210535631,Havaianas double strap slides in green,Havaianas,GREEN,78.0,,USD,False,False,False,False,havaianas/havaianas-double-strap-slides-in-green/prd/210535631#colourWayId-210535639,images.asos-media.com/products/havaianas-double-strap-slides-in-green/210535631-1-green
210535641,Havaianas slides in black,Havaianas,Black,63.0,,USD,False,False,False,False,havaianas/havaianas-slides-in-black/prd/210535641#colourWayId-210535648,images.asos-media.com/products/havaianas-slides-in-black/210535641-1-black
209874585,ASOS DESIGN penny driver loafer in stone suede,ASOS DESIGN,STONE,74.99,,USD,False,False,True,False,asos-design/asos-design-penny-driver-loafer-in-stone-suede/prd/209874585#colourWayId-209874586,images.asos-media.com/products/asos-design-penny-driver-loafer-in-stone-suede/209874585-1-stone
